category,id,key,en,ko,zh_TW,item_tier
item,3024,3024,Glacial Buckler,얼음 방패,冰川圓盾,epic
item,3026,3026,Guardian Angel,수호 천사,守護天使,legendary
item,3031,3031,Infinity Edge,무한의 대검,無盡之刃,epic
item,3032,3032,Yun Tal Wildarrows,윤 탈 야생화살,雲陶狂箭,legendary
item,3033,3033,Mortal Reminder,필멸자의 운명,致死宣告,legendary
item,3035,3035,Last Whisper,최후의 속삭임,最後耳語,epic
item,3036,3036,Lord Dominik's Regards,도미닉 경의 인사,多明尼克的問候,legendary
item,3041,3041,Mejai's Soulstealer,메자이의 영혼약탈자,靈魂竊取者,epic
item,3044,3044,Phage,탐식의 망치,淨蝕之槌,epic
item,3046,3046,Phantom Dancer,유령 무희,幻影之舞,legendary
item,3047,3047,Plated Steelcaps,판금 장화,鍍板鋼蓋,boots
item,3050,3050,Zeke's Convergence,지크의 융합,錫柯的聚合之力,legendary
item,3051,3051,Hearthbound Axe,온기가 필요한 자의 도끼,爐縛之斧,epic
item,3053,3053,Sterak's Gage,스테락의 도전,史特拉克手套,legendary
item,3057,3057,Sheen,광휘의 검,閃耀劍,epic
item,3065,3065,Spirit Visage,정령의 형상,振奮盔甲,legendary
item,3066,3066,Winged Moonplate,비상의 월갑,飛翼月甲,epic
item,3067,3067,Kindlegem,점화석,燃燒寶石,epic
item,3068,3068,Sunfire Aegis,태양불꽃 방패,日炎聖盾,legendary
item,3070,3070,Tear of the Goddess,여신의 눈물,女神之淚,basic
item,3071,3071,Black Cleaver,칠흑의 양날 도끼,黑色切割者,legendary
item,3072,3072,Bloodthirster,피바라기,嗜血者,legendary
item,3073,3073,Experimental Hexplate,실험적 마공학판,實驗型海克斯板甲,legendary
item,3074,3074,Ravenous Hydra,굶주린 히드라,狂怒九頭蛇,legendary
item,3075,3075,Thornmail,가시 갑옷,荊棘之甲,legendary
item,3076,3076,Bramble Vest,덤불 조끼,刺藤胸甲,epic
item,3077,3077,Tiamat,티아맷,海神之斧,epic
item,3078,3078,Trinity Force,삼위일체,三相之力,legendary
item,3082,3082,Warden's Mail,파수꾼의 갑옷,守望者鎧甲,epic
item,3083,3083,Warmog's Armor,워모그의 갑옷,好戰者鎧甲,legendary
item,3084,3084,Heartsteel,강철심장,雄心之鋼,legendary
item,3085,3085,Runaan's Hurricane,루난의 허리케인,芮蘭颶風箭,legendary
item,3086,3086,Zeal,열정의 검,狂熱雙刀,epic
item,3087,3087,Statikk Shiv,스태틱의 단검,史提克彈簧刀,legendary
item,3089,3089,Rabadon's Deathcap,라바돈의 죽음모자,死亡之帽,epic
item,3091,3091,Wit's End,마법사의 최후,智慧末刃,legendary
item,3094,3094,Rapid Firecannon,고속 연사포,衝擊火炮,legendary
item,3095,3095,Stormrazor,폭풍갈퀴,狂暴利刃,legendary
item,3100,3100,Lich Bane,리치베인,巫妖之禍,legendary
item,3102,3102,Banshee's Veil,밴시의 장막,女妖面紗,legendary
item,3107,3107,Redemption,구원,贖罪神石,legendary
item,3108,3108,Fiendish Codex,악마의 마법서,惡魔法典,epic
item,3109,3109,Knight's Vow,기사의 맹세,騎士誓願,legendary
item,3110,3110,Frozen Heart,얼어붙은 심장,冰霜之心,legendary
item,3111,3111,Mercury's Treads,헤르메스의 발걸음,水星之靴,boots
item,3112,3112,Guardian's Orb,수호자의 보주,保衛者冰玉,starter
item,3113,3113,Aether Wisp,에테르 환영,蒼穹神火,epic
item,3114,3114,Forbidden Idol,금지된 우상,禁忌之像,epic
item,3115,3115,Nashor's Tooth,내셔의 이빨,納什之牙,legendary
item,3116,3116,Rylai's Crystal Scepter,라일라이의 수정홀,瑞萊的冰晶節杖,legendary
item,3118,3118,Malignance,악의,惡意,legendary
item,3119,3119,Winter's Approach,혹한의 손길,凜冬將至,legendary
item,3123,3123,Executioner's Calling,처형인의 대검,死刑宣告,epic
item,3124,3124,Guinsoo's Rageblade,구인수의 격노검,鬼索的狂暴之刃,legendary
item,3133,3133,Caulfield's Warhammer,콜필드의 전투 망치,考菲爾德的戰槌,epic
item,3134,3134,Serrated Dirk,톱날 단검,殘暴之力,epic
item,3135,3135,Void Staff,공허의 지팡이,虛空之杖,legendary
item,3137,3137,Cryptbloom,무덤꽃,死墓之花,legendary
item,3139,3139,Mercurial Scimitar,헤르메스의 시미터,水星彎刀,legendary
item,3140,3140,Quicksilver Sash,수은 장식띠,水銀飾帶,epic
item,3142,3142,Youmuu's Ghostblade,요우무의 유령검,妖夢鬼刀,legendary
item,3143,3143,Randuin's Omen,란두인의 예언,蘭頓之兆,legendary
item,3144,3144,Scout's Slingshot,정찰병의 새총,斥候彈弓,epic
item,3145,3145,Hextech Alternator,마법공학 교류 발전기,海克斯科技發電機,epic
item,3146,3146,Hextech Gunblade,마법공학 총검,海克斯科技槍刃,legendary
item,3147,3147,Haunting Guise,기괴한 가면,幽魂面具,epic
item,3152,3152,Hextech Rocketbelt,마법공학 로켓 벨트,海克斯科技火箭腰帶,legendary
item,3153,3153,Blade of The Ruined King,몰락한 왕의 검,殞落王者之劍,legendary
item,3155,3155,Hexdrinker,주문포식자,吸魔劍,epic
item,3156,3156,Maw of Malmortius,맬모셔스의 아귀,魔提斯深淵,legendary
item,3157,3157,Zhonya's Hourglass,존야의 모래시계,中婭沙漏,legendary
item,3158,3158,Ionian Boots of Lucidity,명석함의 아이오니아 장화,愛歐尼亞之靴,boots
item,3161,3161,Spear of Shojin,쇼진의 창,精進之矛,legendary
item,3165,3165,Morellonomicon,모렐로노미콘,黑魔禁書,legendary
item,3168,3168,Immortal Path,불멸의 길,不朽之道,boots
item,3170,3170,Swiftmarch,신속행진,快速行軍,boots
item,3171,3171,Crimson Lucidity,핏빛 명석함,血色法靴,boots
item,3172,3172,Gunmetal Greaves,건메탈 군화,槍銅護脛,legendary
item,3173,3173,Chainlaced Crushers,사슬끈 분쇄자,鎖鍊軍靴,boots
item,3174,3174,Armored Advance,무장 진격,裝甲戰靴,boots
item,3175,3175,Spellslinger's Shoes,주문투척자의 신발,魔法使之鞋,boots
item,3177,3177,Guardian's Blade,수호자의 검,保衛者之刃,starter
item,3179,3179,Umbral Glaive,그림자 검,闇影戰戟,legendary
item,3181,3181,Hullbreaker,선체파괴자,破船戰斧,legendary
item,3184,3184,Guardian's Hammer,수호자의 망치,保衛者戰鎚,starter
item,3190,3190,Locket of the Iron Solari,강철의 솔라리 펜던트,日輪的加冕,legendary
item,3211,3211,Spectre's Cowl,망령의 두건,亡靈斗篷,epic
item,3222,3222,Mikael's Blessing,미카엘의 축복,米凱的祝福,legendary
item,3302,3302,Terminus,경계,臨界點,legendary
item,3330,3330,Scarecrow Effigy,허수아비,稻草人,trinket
item,3340,3340,Stealth Ward,투명 와드,潛行守衛,trinket
item,3363,3363,Farsight Alteration,망원형 개조,鷹眼晶球,trinket
item,3364,3364,Oracle Lens,예언자의 렌즈,先知透視鏡,trinket
item,3504,3504,Ardent Censer,불타는 향로,熾灼魔器,legendary
item,3508,3508,Essence Reaver,정수 약탈자,奪魄之鐮,legendary
item,3599,3599,Kalista's Black Spear,칼리스타의 칠흑의 창,克黎思妲的靈魂黑矛,consumable
item,3742,3742,Dead Man's Plate,망자의 갑옷,死者肩甲,legendary
item,3748,3748,Titanic Hydra,거대한 히드라,泰坦九頭蛇,legendary
item,3801,3801,Crystalline Bracer,수정 팔 보호구,水晶護腕,epic
item,3802,3802,Lost Chapter,사라진 양피지,失落之章,epic
item,3803,3803,Catalyst of Aeons,억겁의 카탈리스트,催化魔方,epic
item,3814,3814,Edge of Night,밤의 끝자락,夜色緣界,legendary
item,3865,3865,World Atlas,세계 지도집,世界地圖,starter
item,3869,3869,Celestial Opposition,천상의 이의,星體抗力,starter
item,3870,3870,Dream Maker,꿈 생성기,夢寐以求,starter
item,3871,3871,Zaz'Zak's Realmspike,자자크의 세계가시,薩茲薩克的領域之刺,starter
item,3876,3876,Solstice Sleigh,태양의 썰매,冬至雪橇,starter
item,3877,3877,Bloodsong,피의 노래,血歌,starter
item,3916,3916,Oblivion Orb,망각의 구,遺忘寶珠,epic
item,4005,4005,Imperial Mandate,제국의 명령,帝王命令,legendary
item,4401,4401,Force of Nature,대자연의 힘,自然之力,legendary
item,4628,4628,Horizon Focus,지평선의 초점,視界專注,legendary
item,4629,4629,Cosmic Drive,우주의 추진력,星河馳騁,legendary
item,4630,4630,Blighting Jewel,역병의 보석,枯萎寶石,epic
item,4632,4632,Verdant Barrier,신록의 장벽,蒼翠屏障,epic
item,4633,4633,Riftmaker,균열 생성기,峽谷製造者,legendary
item,4642,4642,Bandleglass Mirror,밴들유리 거울,班德爾玻璃之鏡,epic
item,4645,4645,Shadowflame,그림자불꽃,黯影之炎,legendary
item,4646,4646,Stormsurge,폭풍 쇄도,雷霆風暴,legendary
item,6333,6333,Death's Dance,죽음의 무도,死亡之舞,legendary
item,6609,6609,Chempunk Chainsword,화공 펑크 사슬검,生化龐克鏈鋸之劍,legendary
item,6610,6610,Sundered Sky,갈라진 하늘,突破天際,legendary
item,6616,6616,Staff of Flowing Water,흐르는 물의 지팡이,流水之杖,legendary
item,6617,6617,Moonstone Renewer,월석 재생기,月之石再生裝置,legendary
item,6620,6620,Echoes of Helia,헬리아의 메아리,希利亞的迴響,legendary
item,6621,6621,Dawncore,새벽심장,破曉之核,legendary
item,663056,663056,Demon King's Crown,불사대마왕의 왕관,魔王的王冠,basic
item,663058,663058,Shield of Molten Stone,용암의 방패,熔岩護盾,basic
item,663059,663059,Cloak of Starry Night,별빛밤 망토,星夜斗篷,basic
item,663060,663060,Sword of the Divine,신성의 검,神聖之劍,basic
item,663064,663064,Veigar's Talisman of Ascension,베이가의 승천의 부적,維迦的昇華護符,basic
item,6631,6631,Stridebreaker,발걸음 분쇄기,步履破壞者,legendary
item,6653,6653,Liandry's Torment,리안드리의 고통,黎安卓的折磨,legendary
item,6655,6655,Luden's Echo,루덴의 메아리,盧登回音,legendary
item,6657,6657,Rod of Ages,영겁의 지팡이,時光之杖,legendary
item,6660,6660,Bami's Cinder,바미의 불씨,巴米灰燼,epic
item,6662,6662,Iceborn Gauntlet,얼어붙은 건틀릿,寒冰霸拳,legendary
item,6664,6664,Hollow Radiance,공허한 광휘,虛偽光彩,legendary
item,6665,6665,"Jak'Sho, The Protean",해신 작쇼,千變萬化之賈克修,legendary
item,6670,6670,Noonquiver,절정의 화살,正午箭筒,epic
item,667101,667101,Gambler's Blade,도박꾼의 칼날,賭徒之刀,basic
item,667109,667109,Cruelty,잔혹 행위,殘忍,basic
item,667112,667112,Flesheater,살점포식자,食肉者,basic
item,6672,6672,Kraken Slayer,크라켄 학살자,海妖殺手,legendary
item,6673,6673,Immortal Shieldbow,불멸의 철갑궁,不朽盾弓,legendary
item,6675,6675,Navori Flickerblade,나보리 명멸검,那歐閃刃,legendary
item,6676,6676,The Collector,징수의 총,蒐集者,legendary
item,6690,6690,Rectrix,꽁지깃,導翔之羽,epic
item,6692,6692,Eclipse,월식,星蝕,legendary
item,6694,6694,Serylda's Grudge,세릴다의 원한,席利妲咒怨,legendary
item,6695,6695,Serpent's Fang,독사의 송곳니,巨蛇鋒牙,legendary
item,6696,6696,Axiom Arc,원칙의 원형낫,公理弧刃,legendary
item,6697,6697,Hubris,오만,傲慢,legendary
item,6698,6698,Profane Hydra,불경한 히드라,瀆神九頭蛇,legendary
item,6699,6699,Voltaic Cyclosword,벼락폭풍검,電流旋風劍,legendary
item,8010,8010,Bloodletter's Curse,핏빛 저주,血書詛咒,legendary
item,8020,8020,Abyssal Mask,심연의 가면,深淵面具,legendary
