category,id,key,en,ko,zh_TW,title_en,title_ko,title_zh_TW
champion,Kayn,141,Kayn,케인,慨影,the Shadow Reaper,그림자 사신,闇魂收割者
champion,Kennen,85,Kennen,케넨,凱能,the Heart of the Tempest,폭풍의 심장,狂暴之心
champion,Khazix,121,Kha'Zix,카직스,卡力斯,the Voidreaver,공허의 약탈자,虛空掠食者
champion,Kindred,203,Kindred,킨드레드,鏡爪,The Eternal Hunters,영겁의 사냥꾼,永恆獵手
champion,Kled,240,Kled,클레드,克雷德,the Cantankerous Cavalier,망나니 기사,暴躁騎士
champion,KogMaw,96,Kog'Maw,코그모,寇格魔,the Mouth of the Abyss,심연의 아귀,深淵巨口
champion,Leblanc,7,LeBlanc,르블랑,勒布朗,the Deceiver,환술사,詐欺師
champion,LeeSin,64,Lee Sin,리 신,李星,the Blind Monk,눈먼 수도승,盲眼武僧
champion,Leona,89,Leona,레오나,雷歐娜,the Radiant Dawn,여명의 빛,黎明之光
champion,Lillia,876,Lillia,릴리아,莉莉亞,the Bashful Bloom,수줍은 꽃,羞赧綻華
champion,Lissandra,127,Lissandra,리산드라,麗珊卓,the Ice Witch,얼음 마녀,傲雪巫女
champion,Locke,805,Locke,로크,洛克,the Ashen Exorcist,잿빛 퇴마사,死灰驅魔師
champion,Lucian,236,Lucian,루시안,路西恩,the Purifier,정화의 사도,驅魔聖槍
champion,Lulu,117,Lulu,룰루,露璐,the Fae Sorceress,요정 마법사,精靈魔法使
champion,Lux,99,Lux,럭스,拉克絲,the Lady of Luminosity,광명의 소녀,光之少女
champion,Malphite,54,Malphite,말파이트,墨菲特,Shard of the Monolith,거석의 파편,幻石碎片
champion,Malzahar,90,Malzahar,말자하,馬爾札哈,the Prophet of the Void,공허의 예언자,虛空先知
champion,Maokai,57,Maokai,마오카이,茂凱,the Twisted Treant,뒤틀린 나무 정령,扭曲樹人
champion,MasterYi,11,Master Yi,마스터 이,易大師,the Wuju Bladesman,우주 검사,無極劍聖
champion,Mel,800,Mel,멜,梅爾,the Soul's Reflection,영혼의 반향,映魂祕使
champion,Milio,902,Milio,밀리오,米里歐,The Gentle Flame,온화한 불꽃,溫煦良焰
champion,MissFortune,21,Miss Fortune,미스 포츈,好運姐,the Bounty Hunter,현상금 사냥꾼,賞金獵人
champion,MonkeyKing,62,Wukong,오공,悟空,the Monkey King,원숭이 왕,齊天大聖
champion,Mordekaiser,82,Mordekaiser,모데카이저,魔鬥凱薩,the Iron Revenant,강철의 망령, 金屬亡靈
champion,Morgana,25,Morgana,모르가나,魔甘娜,the Fallen,타락한 자,墮落天使
champion,Naafiri,950,Naafiri,나피리,娜菲芮,the Hound of a Hundred Bites,백 번 무는 사냥개,百犬之牙
champion,Nami,267,Nami,나미,娜米,the Tidecaller,파도 소환사,海潮之音
champion,Nasus,75,Nasus,나서스,納瑟斯,the Curator of the Sands,사막의 관리자,沙漠死神
champion,Nautilus,111,Nautilus,노틸러스,納帝魯斯,the Titan of the Depths,심해의 타이탄,深淵巨人
champion,Neeko,518,Neeko,니코,妮可,the Curious Chameleon,알쏭달쏭 카멜레온,好奇變色龍
champion,Nidalee,76,Nidalee,니달리,奈德麗,the Bestial Huntress,야성의 사냥꾼,狂野獵手
champion,Nilah,895,Nilah,닐라,淣菈,the Joy Unbound,해방된 기쁨,奔放笑顏
champion,Nocturne,56,Nocturne,녹턴,夜曲,the Eternal Nightmare,영원한 악몽,永恆夢魘
champion,Nunu,20,Nunu & Willump,누누와 윌럼프,努努和威朗普,the Boy and His Yeti,소년과 설인,冰原拍檔
champion,Olaf,2,Olaf,올라프,歐拉夫,the Berserker,광전사,狂戰士
champion,Orianna,61,Orianna,오리아나,奧莉安娜,the Lady of Clockwork,시계태엽 소녀,發條少女
champion,Ornn,516,Ornn,오른,鄂爾,The Fire below the Mountain,거산의 화염,爐心山神
champion,Pantheon,80,Pantheon,판테온,潘森,the Unbreakable Spear,불굴의 창,不屈之矛
champion,Poppy,78,Poppy,뽀삐,波比,Keeper of the Hammer,망치의 수호자,聖鎚守護者
champion,Pyke,555,Pyke,파이크,派克,the Bloodharbor Ripper,핏빛 항구의 학살자,血港開膛手
champion,Qiyana,246,Qiyana,키아나,姬亞娜,Empress of the Elements,원소의 여왕,元素女帝
champion,Quinn,133,Quinn,퀸,葵恩,Demacia's Wings,데마시아의 날개,蒂瑪西亞之翼
champion,Rakan,497,Rakan,라칸,銳空,The Charmer,매혹하는 자,惑羽
champion,Rammus,33,Rammus,람머스,拉姆斯,the Armordillo,중무장 아르마딜로,披甲龍龜
champion,RekSai,421,Rek'Sai,렉사이,雷珂煞,the Void Burrower,공허의 복병,虛空穿梭者
champion,Rell,526,Rell,렐,銳兒,the Iron Maiden,철의 여인,鋼鐵少女
champion,Renata,888,Renata Glasc,레나타 글라스크,睿娜妲‧格萊斯克,the Chem-Baroness,화공 남작,化學女爵
champion,Renekton,58,Renekton,레넥톤,雷尼克頓,the Butcher of the Sands,사막의 도살자,沙漠屠夫
champion,Rengar,107,Rengar,렝가,雷葛爾,the Pridestalker,추적하는 사자,傲慢伏擊者
champion,Riven,92,Riven,리븐,雷玟,the Exile,추방자,破刃放逐者
champion,Rumble,68,Rumble,럼블,藍寶,the Mechanized Menace,기계 악동,武裝機兵
champion,Ryze,13,Ryze,라이즈,雷茲,the Rune Mage,룬 마법사,符文法師
champion,Samira,360,Samira,사미라,煞蜜拉,the Desert Rose,사막의 장미,荒漠薔薇
champion,Sejuani,113,Sejuani,세주아니,史瓦妮,Fury of the North,혹한의 분노,北境之怒
champion,Senna,235,Senna,세나,姍娜,the Redeemer,구원자,贖魂聖槍
champion,Seraphine,147,Seraphine,세라핀,瑟菈紛,the Starry-Eyed Songstress,노래하는 별,燦眸歌姬
champion,Sett,875,Sett,세트,賽特,the Boss,우두머리,獸血拳皇
champion,Shaco,35,Shaco,샤코,薩科,the Demon Jester,악마 어릿광대,惡魔小丑
champion,Shen,98,Shen,쉔,慎,the Eye of Twilight,황혼의 눈,暮光之眼
champion,Shyvana,102,Shyvana,쉬바나,希瓦娜,the Half-Dragon,하프 드래곤,半龍少女
champion,Singed,27,Singed,신지드,辛吉德,the Mad Chemist,미친 화학자,瘋狂煉金師
champion,Sion,14,Sion,사이온,賽恩,The Undead Juggernaut,언데드 학살병기,亡靈勇士
champion,Sivir,15,Sivir,시비르,希維爾,the Battle Mistress,전장의 여제,戰爭女神
champion,Skarner,72,Skarner,스카너,史加納,the Primordial Sovereign,태고의 군주,遠古強者
champion,Smolder,901,Smolder,스몰더,史矛德,the Fiery Fledgling,꼬마 불꽃용,帝煌雛龍
champion,Sona,37,Sona,소나,索娜,Maven of the Strings,현의 명인,琴仙
champion,Soraka,16,Soraka,소라카,索拉卡,the Starchild,별의 아이,眾星之子
champion,Swain,50,Swain,스웨인,斯溫,the Noxian Grand General,녹서스 대장군,諾克薩斯總帥
champion,Sylas,517,Sylas,사일러스,賽勒斯,the Unshackled,해방된 자,罪鍊術士
champion,Syndra,134,Syndra,신드라,星朵拉,the Dark Sovereign,어둠의 여제,黑暗領主
champion,TahmKench,223,Tahm Kench,탐 켄치,貪啃奇,The River King,강의 폭군,河中巨怪
champion,Taliyah,163,Taliyah,탈리야,塔莉雅,the Stoneweaver,바위술사,岩石編織者
champion,Talon,91,Talon,탈론,塔隆,the Blade's Shadow,검의 그림자,神影刺客
champion,Taric,44,Taric,타릭,塔里克,the Shield of Valoran,발로란의 방패,瓦羅然之盾
champion,Teemo,17,Teemo,티모,提摩,the Swift Scout,날쌘 정찰병,迅捷斥候
champion,Thresh,412,Thresh,쓰레쉬,瑟雷西,the Chain Warden,지옥의 간수,鍊魂獄長
champion,Tristana,18,Tristana,트리스타나,崔絲塔娜,the Yordle Gunner,요들 사수,約德爾炮手
champion,Trundle,48,Trundle,트런들,特朗德,the Troll King,트롤 왕,巨魔王
champion,Tryndamere,23,Tryndamere,트린다미어,泰達米爾,the Barbarian King,야만전사 왕,蠻族之王
champion,TwistedFate,4,Twisted Fate,트위스티드 페이트,逆命,the Card Master,카드의 달인,卡牌大師
champion,Twitch,29,Twitch,트위치,圖奇,the Plague Rat,역병 쥐,瘟疫之源
champion,Udyr,77,Udyr,우디르,烏迪爾,the Spirit Walker,정령 주술사,神靈行者
champion,Urgot,6,Urgot,우르곳,烏爾加特,the Dreadnought,살상 병기,重裝無畏
champion,Varus,110,Varus,바루스,法洛士,the Arrow of Retribution,응징의 화살,懲戒之箭
champion,Vayne,67,Vayne,베인,汎,the Night Hunter,어둠 사냥꾼,暗夜獵人
champion,Veigar,45,Veigar,베이가,維迦,the Tiny Master of Evil,악의 작은 지배자,邪惡小法師
champion,Velkoz,161,Vel'Koz,벨코즈,威寇茲,the Eye of the Void,공허의 눈,虛空魔眼
champion,Vex,711,Vex,벡스,薇可絲,the Gloomist,우울주의자,愁霧影巫
champion,Vi,254,Vi,바이,菲艾,the Piltover Enforcer,필트오버의 집행자,鐵腕特警
champion,Viego,234,Viego,비에고,維爾戈,The Ruined King,몰락한 왕,殞落王者
champion,Viktor,112,Viktor,빅토르,維克特,the Herald of the Arcane,아케인의 전령관,奧術預示者
champion,Vladimir,8,Vladimir,블라디미르,弗拉迪米爾,the Crimson Reaper,진홍빛 사신,血色收割者
champion,Volibear,106,Volibear,볼리베어,弗力貝爾,the Relentless Storm,무자비한 폭풍,無情風暴
champion,Warwick,19,Warwick,워윅,沃維克,the Uncaged Wrath of Zaun,자운의 고삐 풀린 분노,嗜血狂怒
champion,Xayah,498,Xayah,자야,剎雅,the Rebel,저항하는 자,逆羽
champion,Xerath,101,Xerath,제라스,齊勒斯,the Magus Ascendant,초월한 마법사,遠古魔導
champion,XinZhao,5,Xin Zhao,신 짜오,趙信,the Seneschal of Demacia,데마시아의 호위무사,蒂瑪西亞總管
champion,Yasuo,157,Yasuo,야스오,犽宿,the Unforgiven,용서받지 못한 자,放逐浪人
champion,Yone,777,Yone,요네,犽凝,the Unforgotten,잊히지 못한 자,不滅劍豪
champion,Yorick,83,Yorick,요릭,約瑞科,Shepherd of Souls,영혼의 길잡이,亡魂牧人
champion,Yunara,804,Yunara,유나라,尤娜拉,the Unbroken Faith,꺾이지 않는 신념,千年巫女
champion,Yuumi,350,Yuumi,유미,悠咪,the Magical Cat,마법 고양이,魔法靈貓
champion,Zaahen,904,Zaahen,자헨,薩亨,The Unsundered,저물지 않는 자,不滅冥聖
champion,Zac,154,Zac,자크,札克,the Secret Weapon,비밀 병기,魔人
champion,Zed,238,Zed,제드,劫,the Master of Shadows,그림자의 주인,影忍至尊
champion,Zeri,221,Zeri,제리,婕莉,The Spark of Zaun,자운의 불꽃,佐恩電光
champion,Ziggs,115,Ziggs,직스,希格斯,the Hexplosives Expert,마법공학 폭파병,魔法爆破專家
champion,Zilean,26,Zilean,질리언,極靈,the Chronokeeper,시간의 수호자,時光守護者
champion,Zoe,142,Zoe,조이,柔依,the Aspect of Twilight,여명의 성위,暮光星靈
champion,Zyra,143,Zyra,자이라,枷蘿,Rise of the Thorns,가시 덩굴의 복수,荊棘漫遊者
